id,instruction,answer,option_c,option_b,option_a,option_d,
ARC-Challenge/train/Mercury_416649,Rosaria a descoperit un tip de structură pe care nu a putut-o identifica într-o probă de apă dintr-un iaz. Profesoara ei s-a uitat în microscop și i-a explicat că erau zigote produse de unul dintre protiștii din proba ei. La care protist aparțin zigotii?,D,paramecium,euglena,ameba,volvox,
ARC-Challenge/train/Mercury_7217840,Pe lacurile mici se va forma gheață atunci când temperatura scade sub 0 ° C. Care proprietate a gheții este cea mai benefică pentru peștii care trăiesc în aceste lacuri?,D,Gheața captează mai multă poluare decât este reținută de apă.,Gheața absoarbe lumina soarelui care este reflectată de apă.,Gheții are o temperatură mai rece decât apa.,Gheții are o densitate mai mică decât densitatea apei.,
ARC-Challenge/train/NCEOGA_2013_5_25,"Dacă se adaugă 10 grame de apă la 5 grame de sare, câtă apă sărată se va obține?",D,10 grame,5 grame,2 grame,15 grame,
ARC-Challenge/train/Mercury_SC_413300,Temperatura apei dintr-un pahar se schimbă de la 5°C la -1°C. Cum se va schimba apa cel mai probabil?,C,Aceasta se va îngheța.,Aceasta va fi topită.,Aceasta va fi fiartă.,Aceasta se va condensa.,
ARC-Challenge/train/Mercury_7168455,Ciclul apei descrie mișcarea continuă a apei pe Pământ. Care parte a ciclului apei este responsabilă direct pentru întoarcerea apei în sol?,C,precipitații,evaporare,condensare,transpirație,
ARC-Challenge/train/Mercury_7038203,"Când un deget este tăiat și sângerează, trombocitele și proteinele plasmatice se deplasează la locul tăiat pentru a opri sângerarea. Pe măsură ce acestea se deplasează la locul tăiat, se stimulează mai multe trombocite și proteine să se deplaseze la locul tăiat pentru a opri sângerarea. Ce tip de mecanism este ilustrat?",B,feedback regulator,feedback pozitiv,feedback negativ,feedback de stimulare,
ARC-Challenge/train/Mercury_SC_401814,Care situație ar fi considerată observație și măsurare?,B,prognosticarea cât va crește o plantă într-o săptămână,înregistrarea cât a crescut o plantă zilnic timp de o săptămână,adunarea resurselor pentru o investigație a plantelor,explicarea de ce o plantă a crescut diferit în anumite condiții,
ARC-Challenge/train/Mercury_7092523,O placă oceanică se suprascufundă sub o placă continentală. Care dintre aceste forme de relief este cel mai probabil să rezulte din interacțiunea acestor plăci?,A,platforme continentale,granițe de transformare,munți vulcanici,falii normale,
ARC-Challenge/train/MCAS_2013_5_29408,Care dintre datele următoare ar fi cel mai util pentru a descrie clima unei zone specifice?,D,cantitățile anuale totale de precipitații timp de 2 ani,nivelele zilnice ale umidității relative timp de 18 luni,vitezele medii ale vântului pe săptămână timp de 1 lună,temperaturile medii lunare maxime și minime timp de 20 de ani,
ARC-Challenge/train/TIMSS_2007_8_pg101,"Zahărul este format din multe molecule. Când zahărul se dizolvă în apă, ce se întâmplă cu aceste molecule?",B,Ele se evaporă.,Ele există în soluție.,Ele nu mai există.,Ele se combină cu apa pentru a forma noi elemente.,
