index,title,content,starRating
11262,Foarte slab,ca aspect este foarte frumoasa dar cine vrea sa se joace cu tastatura nu poate,1
3890,Foarte multumit,se incarca repede si tine 3 incarcari complete ale telefonului.,5
9413,Țeapa de zile mari!!!,"in primul rand nu este de stica dupa cum spune producatorul, este una de plastic de nici 10 lei   calitatea este 0 a mea a venit gata zgariata plus de asta nu se lipeste pe ecran sub nici o forma desi am urmat atent instructiunile   daca nu aveti pe ce da bani comandati!",1
9350,Nu merita cumparate,nu merita cumparate... sunt create cu limitare de volum. volumul lor este la jumate in comparatie cu al altor casti no name... chiar mai ieftine... ar trebui sa le returnez...,1
7126,Recomand,"un ceas excelent. face cam tot ce ai nevoie cata vreme nu-l compari cu un telefon.  baterie tine mult, il am de 17zile si mai are 20% baterie folosit intens.  primesti notificarile in timp real, nu se blocheaza este f. comod si arata premium.  nu-l comparati cu un ceas smart care tine bateria 1 zi este din alta categorie si se adreseaza celor care vor o extensie la telefon.",5
4848,"Bun, dar pica de pe geam","+ e ""teapan"", lasa impresia de calitate.  + reglabil: se potriveste cu aproape orice smartphone.  + un iphone 6 (cu carcasa pe el) sta foarte bine in acest suport.  - acopera latura de jos a smartphone-ului, cu exceptia unei singure decupari centrale, cu latimea de aproximativ 1cm (unde, de obicei, e mufa de alimentare).  restul eventualelor gauri sunt acoperite: difuzor, microfon, mufa de casti etc.  - sta cel mult 2 zile lipit pe geam, apoi pica.",4
11460,"Un produs excelent, dar mort.","nu-l cumparati!  desi.... e un produs excelent. de calitate, durabil, poate si fiabil (il am doar de 1,5 luni). timp in care l-am incarcat de 2 ori....  dar, din pacate, e un produs mort. mort. pentru ca brandul vector a fost preluat de fitbit care a oprit orice dezvoltare a acestui produs. tot ce inseamna fete de ceas, aplicatii, fluxuri de date care ar putea fi afisate pe diverse fete, nu se mai produc. si fiind specifice, nici nu pot fi gasite in alta parte.   exista un portal unde oricine isi poate crea o fata de ceas, si unde oricine isi putea crea o aplicatie sau un flux de date. dar, nu mai merge decat sectiunea de creare a fetelor.   atentie: lipseste o aplicatie esentiala pentru un astfel de produs: sedentary reminder....  era usor de creat, dar deh, fitbit a cumparat brand-ul si l-a ucis, sa-si vanda gunoaiele pardon, gadgeturile de doi lei.   intrebati cei de la vector daca pot face o aplicatie gen sedentary reminder, sau daca se poate crea de catre un utilizator o astfel de aplicatie, sau orice altceva care inseamna dezvoltarea produsului, raspunsul e invariabil acelasi:    ""dorim sa va informam de faptul ca, dupa ce tehnologia vector watch a fost preluata de catre fitbit (http://vectorwatch.com/fitb... suportul pentru develope platform a fost oprit, iar functia de a crea noi fluxuri a fost dezactivata. astfel, aceasta platforma va fi sustinuta ca atare, iar suportul oferit este minim, asigurand doar informatii generale legate de crearea unor noi fete de ceas.    va multumim pentru intelegere!""    asadar, un produs mort. care, din cauza dezvoltarii tehnogiilor android, va dispare cu totul, estimez in maxim 2 ani, fitbit interzicand dezvoltarea si a produsului odata cu noile tehnologii web sau android (aplicatia de telefon, sau firmware-ul ceasului.   ati cumpara o mortaciune?....",1
2641,Recomand,"am acest produs de aproape jumatate de an timp in care nu am avut probleme cu el. s-a fixat din prima, telefoanele stau bine si e foarte usor de manevrat.",5
3802,E super!,il am de vreo luna si nu mai pot sta fara el...,5
5075,Excelent,e un acumulator extern foarte ok. se incarca foarte rapid si nu se incinge. am incarcat 3 telefoane.  il recomand,5
